"","newx","mle"
"1",-4,0
"2",-3.99642224426308,0
"3",-3.99284448852616,0
"4",-3.98926673278924,0
"5",-3.98568897705232,0
"6",-3.98211122131541,0
"7",-3.97853346557849,0
"8",-3.97495570984157,0
"9",-3.97137795410465,0
"10",-3.96780019836773,0
"11",-3.96422244263081,0
"12",-3.96064468689389,0
"13",-3.95706693115697,0
"14",-3.95348917542006,0
"15",-3.94991141968314,0
"16",-3.94633366394622,0
"17",-3.9427559082093,0
"18",-3.93917815247238,0
"19",-3.93560039673546,0
"20",-3.93202264099854,0
"21",-3.92844488526162,0
"22",-3.9248671295247,0
"23",-3.92128937378779,0
"24",-3.91771161805087,0
"25",-3.91413386231395,0
"26",-3.91055610657703,0
"27",-3.90697835084011,0
"28",-3.90340059510319,0
"29",-3.89982283936627,0
"30",-3.89624508362935,0
"31",-3.89266732789243,0
"32",-3.88908957215552,0
"33",-3.8855118164186,0
"34",-3.88193406068168,0
"35",-3.87835630494476,0
"36",-3.87477854920784,0
"37",-3.87120079347092,0
"38",-3.867623037734,0
"39",-3.86404528199708,0
"40",-3.86046752626017,0
"41",-3.85688977052325,0
"42",-3.85331201478633,0
"43",-3.84973425904941,0
"44",-3.84615650331249,0
"45",-3.84257874757557,0
"46",-3.83900099183865,0
"47",-3.83542323610173,0
"48",-3.83184548036481,0
"49",-3.8282677246279,0
"50",-3.82468996889098,0
"51",-3.82111221315406,0
"52",-3.81753445741714,0
"53",-3.81395670168022,0
"54",-3.8103789459433,0
"55",-3.80680119020638,0
"56",-3.80322343446946,0
"57",-3.79964567873255,0
"58",-3.79606792299563,0
"59",-3.79249016725871,0
"60",-3.78891241152179,0
"61",-3.78533465578487,0
"62",-3.78175690004795,0
"63",-3.77817914431103,0
"64",-3.77460138857411,0
"65",-3.77102363283719,0
"66",-3.76744587710028,0
"67",-3.76386812136336,0
"68",-3.76029036562644,0
"69",-3.75671260988952,0
"70",-3.7531348541526,0
"71",-3.74955709841568,0
"72",-3.74597934267876,0
"73",-3.74240158694184,0
"74",-3.73882383120492,0
"75",-3.73524607546801,0
"76",-3.73166831973109,0
"77",-3.72809056399417,0
"78",-3.72451280825725,0
"79",-3.72093505252033,0
"80",-3.71735729678341,0
"81",-3.71377954104649,0
"82",-3.71020178530957,0
"83",-3.70662402957266,0
"84",-3.70304627383574,0
"85",-3.69946851809882,0
"86",-3.6958907623619,0
"87",-3.69231300662498,0
"88",-3.68873525088806,0
"89",-3.68515749515114,0
"90",-3.68157973941422,0
"91",-3.6780019836773,0
"92",-3.67442422794039,0
"93",-3.67084647220347,0
"94",-3.66726871646655,0
"95",-3.66369096072963,0
"96",-3.66011320499271,0
"97",-3.65653544925579,0
"98",-3.65295769351887,0
"99",-3.64937993778195,0
"100",-3.64580218204504,0
"101",-3.64222442630812,0
"102",-3.6386466705712,0
"103",-3.63506891483428,0
"104",-3.63149115909736,0
"105",-3.62791340336044,0
"106",-3.62433564762352,0
"107",-3.6207578918866,0
"108",-3.61718013614968,0
"109",-3.61360238041277,0
"110",-3.61002462467585,0
"111",-3.60644686893893,0
"112",-3.60286911320201,0
"113",-3.59929135746509,0
"114",-3.59571360172817,0
"115",-3.59213584599125,0
"116",-3.58855809025433,0
"117",-3.58498033451741,0
"118",-3.5814025787805,0
"119",-3.57782482304358,0
"120",-3.57424706730666,0
"121",-3.57066931156974,0
"122",-3.56709155583282,0
"123",-3.5635138000959,0
"124",-3.55993604435898,0
"125",-3.55635828862206,0
"126",-3.55278053288515,0
"127",-3.54920277714823,0
"128",-3.54562502141131,0
"129",-3.54204726567439,0
"130",-3.53846950993747,0
"131",-3.53489175420055,0
"132",-3.53131399846363,0
"133",-3.52773624272671,0
"134",-3.52415848698979,0
"135",-3.52058073125288,0
"136",-3.51700297551596,0
"137",-3.51342521977904,0
"138",-3.50984746404212,0
"139",-3.5062697083052,0
"140",-3.50269195256828,0
"141",-3.49911419683136,0
"142",-3.49553644109444,0
"143",-3.49195868535752,0
"144",-3.48838092962061,0
"145",-3.48480317388369,0
"146",-3.48122541814677,0
"147",-3.47764766240985,0
"148",-3.47406990667293,0
"149",-3.47049215093601,0
"150",-3.46691439519909,0
"151",-3.46333663946217,0
"152",-3.45975888372526,0
"153",-3.45618112798834,0
"154",-3.45260337225142,0
"155",-3.4490256165145,0
"156",-3.44544786077758,0
"157",-3.44187010504066,0
"158",-3.43829234930374,0
"159",-3.43471459356682,0
"160",-3.4311368378299,0
"161",-3.42755908209299,0
"162",-3.42398132635607,0
"163",-3.42040357061915,0
"164",-3.41682581488223,0
"165",-3.41324805914531,0
"166",-3.40967030340839,0
"167",-3.40609254767147,0
"168",-3.40251479193455,0
"169",-3.39893703619764,0
"170",-3.39535928046072,0
"171",-3.3917815247238,0
"172",-3.38820376898688,0
"173",-3.38462601324996,0
"174",-3.38104825751304,0
"175",-3.37747050177612,0
"176",-3.3738927460392,0
"177",-3.37031499030228,0
"178",-3.36673723456537,0
"179",-3.36315947882845,0
"180",-3.35958172309153,0
"181",-3.35600396735461,0
"182",-3.35242621161769,0
"183",-3.34884845588077,0
"184",-3.34527070014385,0
"185",-3.34169294440693,0
"186",-3.33811518867001,0
